Name,Type,Minimum,Maximum,Length,Direction,Transferred From
,start,773,773,1,forward,M01342:73:000000000-AAFA1:1:1105:19459:25489 2:N:0:2 (reversed)
,start,802,802,1,reverse,M01342:73:000000000-AAFA1:1:1110:9945:6588 1:N:0:2
,start,846,846,1,forward,M01342:73:000000000-AAFA1:1:2106:19592:15224 1:N:0:2 (reversed)
,start,869,869,1,reverse,M01342:73:000000000-AAFA1:1:1105:3200:14163 2:N:0:2
,start,907,907,1,reverse,M01342:73:000000000-AAFA1:1:1102:4089:22355 1:N:0:2
,start,988,988,1,reverse,M01342:73:000000000-AAFA1:1:1111:26272:12384 2:N:0:2
,start,"1,060","1,060",1,reverse,M01342:73:000000000-AAFA1:1:2111:11791:12880 1:N:0:2
,start,"1,092","1,092",1,forward,M01342:73:000000000-AAFA1:1:1106:25781:16323 2:N:0:2 (reversed)
,start,"1,103","1,103",1,reverse,"M01342:73:000000000-AAFA1:1:1107:6944:18380 1:N:0:2, M01342:73:000000000-AAFA1:1:1112:18964:7075 1:N:0:2"
,start,"1,136","1,136",1,forward,M01342:73:000000000-AAFA1:1:1110:22988:24578 1:N:0:2 (reversed)
,start,"1,155","1,155",1,forward,M01342:73:000000000-AAFA1:1:1108:10463:14563 1:N:0:2 (reversed)
,start,"1,212","1,212",1,forward,M01342:73:000000000-AAFA1:1:2108:14984:8600 1:N:0:2 (reversed)
,start,"1,216","1,216",1,forward,M01342:73:000000000-AAFA1:1:1103:14122:27183 2:N:0:2
,start,"1,230","1,230",1,reverse,M01342:73:000000000-AAFA1:1:2105:7924:10647 1:N:0:2
,start,"1,292","1,292",1,reverse,M01342:73:000000000-AAFA1:1:2112:5935:6587 2:N:0:2 (reversed)
,start,"1,313","1,313",1,reverse,M01342:73:000000000-AAFA1:1:2107:6471:10493 2:N:0:2
,start,"1,319","1,319",1,forward,M01342:73:000000000-AAFA1:1:2113:19088:14052 1:N:0:2 (reversed)
,start,"1,332","1,332",1,forward,M01342:73:000000000-AAFA1:1:1110:8615:5789 1:N:0:2 (reversed)
,start,"1,372","1,372",1,forward,M01342:73:000000000-AAFA1:1:1108:17991:9534 1:N:0:2 (reversed)
,start,"1,439","1,439",1,forward,M01342:73:000000000-AAFA1:1:2110:28809:16196 1:N:0:2 (reversed)
,start,"1,444","1,444",1,forward,M01342:73:000000000-AAFA1:1:1112:23784:20903 1:N:0:2 (reversed)
,start,"1,475","1,475",1,reverse,M01342:73:000000000-AAFA1:1:2113:25295:23900 1:N:0:2
,start,"1,490","1,490",1,reverse,M01342:73:000000000-AAFA1:1:1112:24705:16549 1:N:0:2
,start,"1,497","1,497",1,forward,M01342:73:000000000-AAFA1:1:2112:9038:27115 2:N:0:2 (reversed)
,start,"1,505","1,505",1,reverse,M01342:73:000000000-AAFA1:1:2101:7626:25616 1:N:0:2
,start,"1,510","1,510",1,reverse,M01342:73:000000000-AAFA1:1:2103:26366:19510 1:N:0:2 (reversed)
,start,"1,517","1,517",1,reverse,M01342:73:000000000-AAFA1:1:1106:10765:15527 2:N:0:2 (reversed)
,start,"1,522","1,522",1,reverse,"M01342:73:000000000-AAFA1:1:2104:20516:25928 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2106:22740:16412 2:N:0:2 (reversed)"
,start,"1,534","1,534",1,reverse,M01342:73:000000000-AAFA1:1:1103:13992:24060 2:N:0:2
,start,"1,538","1,538",1,reverse,M01342:73:000000000-AAFA1:1:2112:22230:23982 2:N:0:2
,start,"1,561","1,561",1,reverse,M01342:73:000000000-AAFA1:1:1103:21731:14477 2:N:0:2
,start,"1,561","1,561",1,forward,M01342:73:000000000-AAFA1:1:2110:20413:17740 1:N:0:2 (reversed)
,start,"1,566","1,566",1,forward,M01342:73:000000000-AAFA1:1:1101:9646:9067 2:N:0:2 (reversed)
,start,"1,570","1,570",1,reverse,M01342:73:000000000-AAFA1:1:2108:9890:17490 2:N:0:2
,start,"1,572","1,572",1,reverse,"M01342:73:000000000-AAFA1:1:1108:13391:19177 2:N:0:2, M01342:73:000000000-AAFA1:1:2106:11505:9239 2:N:0:2 (reversed)"
,start,"1,577","1,577",1,reverse,M01342:73:000000000-AAFA1:1:2109:22260:4576 2:N:0:2
,start,"1,593","1,593",1,reverse,M01342:73:000000000-AAFA1:1:1101:11963:15264 1:N:0:2
,start,"1,599","1,599",1,reverse,M01342:73:000000000-AAFA1:1:2114:13150:21333 1:N:0:2
,start,"1,611","1,611",1,reverse,M01342:73:000000000-AAFA1:1:1108:6782:7751 1:N:0:2 (reversed)
,start,"1,620","1,620",1,forward,M01342:73:000000000-AAFA1:1:1112:16196:18179 1:N:0:2 (reversed)
,start,"1,639","1,639",1,reverse,M01342:73:000000000-AAFA1:1:1105:22205:11718 2:N:0:2
,start,"1,643","1,643",1,reverse,"M01342:73:000000000-AAFA1:1:2106:14487:26998 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2111:15064:18153 2:N:0:2"
,start,"1,643","1,643",1,forward,"M01342:73:000000000-AAFA1:1:1108:18887:17985 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2110:17759:25018 2:N:0:2"
,start,"1,647","1,647",1,reverse,"M01342:73:000000000-AAFA1:1:1103:11044:14998 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1103:15767:8360 2:N:0:2"
,start,"1,672","1,672",1,forward,M01342:73:000000000-AAFA1:1:1108:27375:10271 2:N:0:2 (reversed)
,start,"1,697","1,697",1,reverse,M01342:73:000000000-AAFA1:1:1107:13783:11778 2:N:0:2
,start,"1,712","1,712",1,forward,M01342:73:000000000-AAFA1:1:1105:15550:3639 1:N:0:2
,start,"1,716","1,716",1,reverse,M01342:73:000000000-AAFA1:1:2106:12945:2312 1:N:0:2
,start,"1,717","1,717",1,forward,"M01342:73:000000000-AAFA1:1:2104:5147:15079 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2106:23583:22727 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2109:9473:13583 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2111:7342:13900 2:N:0:2 (reversed)"
,start,"1,718","1,718",1,reverse,M01342:73:000000000-AAFA1:1:1114:21780:3380 1:N:0:2 (reversed)
,start,"1,729","1,729",1,reverse,M01342:73:000000000-AAFA1:1:2108:13696:25168 2:N:0:2
,start,"1,733","1,733",1,forward,M01342:73:000000000-AAFA1:1:1108:17917:13835 2:N:0:2 (reversed)
,start,"1,740","1,740",1,forward,"M01342:73:000000000-AAFA1:1:2107:11870:20721 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2108:14555:11002 1:N:0:2 (reversed)"
,start,"1,750","1,750",1,reverse,M01342:73:000000000-AAFA1:1:1114:21585:19549 2:N:0:2 (reversed)
,start,"1,785","1,785",1,forward,M01342:73:000000000-AAFA1:1:1105:16564:22531 1:N:0:2 (reversed)
,start,"1,797","1,797",1,reverse,M01342:73:000000000-AAFA1:1:2108:21870:4040 2:N:0:2
,start,"1,798","1,798",1,reverse,M01342:73:000000000-AAFA1:1:2101:15730:25730 1:N:0:2 (reversed)
,start,"1,824","1,824",1,forward,M01342:73:000000000-AAFA1:1:1111:6909:16201 1:N:0:2
,start,"1,825","1,825",1,forward,M01342:73:000000000-AAFA1:1:2112:14238:12448 2:N:0:2 (reversed)
,start,"1,850","1,850",1,reverse,M01342:73:000000000-AAFA1:1:1108:22505:16447 1:N:0:2
,start,"1,855","1,855",1,reverse,M01342:73:000000000-AAFA1:1:1110:14742:15957 2:N:0:2
,start,"1,855","1,855",1,forward,M01342:73:000000000-AAFA1:1:1110:5247:22979 2:N:0:2 (reversed)
,start,"1,857","1,857",1,reverse,M01342:73:000000000-AAFA1:1:2105:19301:5628 1:N:0:2
,start,"1,859","1,859",1,reverse,M01342:73:000000000-AAFA1:1:2110:13636:3219 1:N:0:2 (reversed)
,start,"1,863","1,863",1,forward,M01342:73:000000000-AAFA1:1:2108:16072:16429 1:N:0:2 (reversed)
,start,"1,875","1,875",1,forward,M01342:73:000000000-AAFA1:1:2110:24220:20162 2:N:0:2 (reversed)
,start,"1,891","1,891",1,forward,M01342:73:000000000-AAFA1:1:2113:11952:14061 1:N:0:2 (reversed)
,start,"1,896","1,896",1,forward,"M01342:73:000000000-AAFA1:1:1101:8799:9968 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1105:11100:13343 2:N:0:2 (reversed)"
,start,"1,905","1,905",1,reverse,M01342:73:000000000-AAFA1:1:2107:17086:6877 1:N:0:2
,start,"1,927","1,927",1,reverse,M01342:73:000000000-AAFA1:1:2106:23187:9352 2:N:0:2
,start,"1,928","1,928",1,forward,M01342:73:000000000-AAFA1:1:1113:10825:5954 1:N:0:2 (reversed)
,start,"1,929","1,929",1,forward,M01342:73:000000000-AAFA1:1:1105:29632:16340 2:N:0:2 (reversed)
,start,"1,943","1,943",1,forward,M01342:73:000000000-AAFA1:1:1101:18454:10679 1:N:0:2 (reversed)
,start,"1,967","1,967",1,reverse,M01342:73:000000000-AAFA1:1:2110:10749:8997 1:N:0:2 (reversed)
,start,"1,973","1,973",1,reverse,M01342:73:000000000-AAFA1:1:1110:29323:17787 2:N:0:2
,start,"1,976","1,976",1,forward,M01342:73:000000000-AAFA1:1:2110:2813:20091 2:N:0:2 (reversed)
,start,"1,983","1,983",1,forward,M01342:73:000000000-AAFA1:1:2103:13400:14100 1:N:0:2
,start,"1,987","1,987",1,reverse,M01342:73:000000000-AAFA1:1:2114:13615:26191 2:N:0:2
,start,"2,016","2,016",1,forward,M01342:73:000000000-AAFA1:1:1113:17184:8999 2:N:0:2 (reversed)
,start,"2,036","2,036",1,reverse,M01342:73:000000000-AAFA1:1:2101:24460:19209 1:N:0:2
,start,"2,039","2,039",1,forward,M01342:73:000000000-AAFA1:1:1112:5981:7016 1:N:0:2 (reversed)
,start,"2,041","2,041",1,forward,M01342:73:000000000-AAFA1:1:1103:12818:19466 2:N:0:2 (reversed)
,start,"2,046","2,046",1,reverse,M01342:73:000000000-AAFA1:1:1113:12831:10162 2:N:0:2 (reversed)
,start,"2,048","2,048",1,reverse,M01342:73:000000000-AAFA1:1:1108:11517:16917 1:N:0:2
,start,"2,049","2,049",1,forward,M01342:73:000000000-AAFA1:1:2103:14251:13996 2:N:0:2 (reversed)
,start,"2,050","2,050",1,reverse,M01342:73:000000000-AAFA1:1:1103:22280:23315 1:N:0:2
,start,"2,062","2,062",1,forward,M01342:73:000000000-AAFA1:1:2103:5215:10888 1:N:0:2
,start,"2,072","2,072",1,reverse,M01342:73:000000000-AAFA1:1:2108:15990:11561 2:N:0:2
,start,"2,076","2,076",1,forward,M01342:73:000000000-AAFA1:1:2106:10290:7627 1:N:0:2 (reversed)
,start,"2,080","2,080",1,reverse,"M01342:73:000000000-AAFA1:1:1113:17017:24519 2:N:0:2, M01342:73:000000000-AAFA1:1:2114:14232:3687 2:N:0:2"
,start,"2,081","2,081",1,reverse,M01342:73:000000000-AAFA1:1:1108:23681:14361 2:N:0:2
,start,"2,093","2,093",1,reverse,M01342:73:000000000-AAFA1:1:1106:20574:6611 2:N:0:2 (reversed)
,start,"2,097","2,097",1,reverse,M01342:73:000000000-AAFA1:1:1108:11771:14909 2:N:0:2
,start,"2,102","2,102",1,forward,M01342:73:000000000-AAFA1:1:2113:19835:7737 1:N:0:2 (reversed)
,start,"2,105","2,105",1,reverse,M01342:73:000000000-AAFA1:1:2111:7775:21195 1:N:0:2
,start,"2,106","2,106",1,forward,M01342:73:000000000-AAFA1:1:1110:16139:19498 1:N:0:2 (reversed)
,start,"2,108","2,108",1,reverse,"M01342:73:000000000-AAFA1:1:2107:6526:11216 1:N:0:2, M01342:73:000000000-AAFA1:1:2114:8277:17932 1:N:0:2 (reversed)"
,start,"2,110","2,110",1,reverse,M01342:73:000000000-AAFA1:1:1109:5126:9195 1:N:0:2
,start,"2,121","2,121",1,reverse,M01342:73:000000000-AAFA1:1:1103:28301:12562 1:N:0:2 (reversed)
,start,"2,133","2,133",1,forward,M01342:73:000000000-AAFA1:1:2114:14061:12164 2:N:0:2 (reversed)
,start,"2,137","2,137",1,reverse,M01342:73:000000000-AAFA1:1:1110:17129:4132 2:N:0:2
,start,"2,138","2,138",1,reverse,M01342:73:000000000-AAFA1:1:2101:13401:12135 2:N:0:2
,start,"2,141","2,141",1,reverse,M01342:73:000000000-AAFA1:1:2101:11764:19083 1:N:0:2 (reversed)
,start,"2,154","2,154",1,forward,"M01342:73:000000000-AAFA1:1:1107:7501:6198 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:1110:23438:26474 2:N:0:2 (reversed)"
,start,"2,155","2,155",1,forward,M01342:73:000000000-AAFA1:1:1108:21628:6580 1:N:0:2 (reversed)
,start,"2,157","2,157",1,forward,M01342:73:000000000-AAFA1:1:2110:22560:22425 2:N:0:2
,start,"2,158","2,158",1,reverse,M01342:73:000000000-AAFA1:1:1107:21046:9868 1:N:0:2
,start,"2,159","2,159",1,forward,M01342:73:000000000-AAFA1:1:1101:19240:20700 1:N:0:2 (reversed)
,start,"2,168","2,168",1,forward,M01342:73:000000000-AAFA1:1:2106:15969:18243 1:N:0:2 (reversed)
,start,"2,175","2,175",1,forward,M01342:73:000000000-AAFA1:1:1111:12046:22658 1:N:0:2 (reversed)
,start,"2,181","2,181",1,reverse,"M01342:73:000000000-AAFA1:1:1109:4738:9604 2:N:0:2, M01342:73:000000000-AAFA1:1:2101:5952:13016 2:N:0:2, M01342:73:000000000-AAFA1:1:2109:22792:6661 1:N:0:2 (reversed)"
,start,"2,183","2,183",1,reverse,M01342:73:000000000-AAFA1:1:2109:12335:24665 1:N:0:2
,start,"2,195","2,195",1,reverse,M01342:73:000000000-AAFA1:1:2106:18102:5794 2:N:0:2 (reversed)
,start,"2,221","2,221",1,forward,M01342:73:000000000-AAFA1:1:1107:14233:19806 2:N:0:2 (reversed)
,start,"2,223","2,223",1,reverse,"M01342:73:000000000-AAFA1:1:2101:15043:7555 1:N:0:2, M01342:73:000000000-AAFA1:1:2108:5572:8175 1:N:0:2"
,start,"2,227","2,227",1,reverse,M01342:73:000000000-AAFA1:1:2113:21269:10469 2:N:0:2
,start,"2,243","2,243",1,reverse,M01342:73:000000000-AAFA1:1:2113:14537:20495 1:N:0:2
,start,"2,245","2,245",1,forward,M01342:73:000000000-AAFA1:1:2103:6981:14952 2:N:0:2 (reversed)
,start,"2,254","2,254",1,reverse,M01342:73:000000000-AAFA1:1:2105:20590:3718 2:N:0:2
,start,"2,259","2,259",1,reverse,M01342:73:000000000-AAFA1:1:2111:21181:12689 2:N:0:2
,start,"2,264","2,264",1,forward,M01342:73:000000000-AAFA1:1:2101:9041:22556 1:N:0:2 (reversed)
,start,"2,275","2,275",1,forward,M01342:73:000000000-AAFA1:1:1113:17695:16282 2:N:0:2 (reversed)
,start,"2,291","2,291",1,reverse,"M01342:73:000000000-AAFA1:1:1108:24511:10966 2:N:0:2, M01342:73:000000000-AAFA1:1:2110:8501:9136 1:N:0:2"
,start,"2,291","2,291",1,forward,"M01342:73:000000000-AAFA1:1:2105:21702:4972 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2110:17053:18161 1:N:0:2 (reversed)"
,start,"2,304","2,304",1,reverse,M01342:73:000000000-AAFA1:1:1108:14669:23126 2:N:0:2
,start,"2,305","2,305",1,forward,M01342:73:000000000-AAFA1:1:1110:15830:17391 2:N:0:2 (reversed)
,start,"2,312","2,312",1,forward,M01342:73:000000000-AAFA1:1:1107:11988:16545 1:N:0:2 (reversed)
,start,"2,339","2,339",1,reverse,"M01342:73:000000000-AAFA1:1:1110:16618:25079 2:N:0:2, M01342:73:000000000-AAFA1:1:2101:4268:22970 1:N:0:2"
,start,"2,340","2,340",1,reverse,M01342:73:000000000-AAFA1:1:1114:27550:19568 2:N:0:2
,start,"2,344","2,344",1,forward,"M01342:73:000000000-AAFA1:1:1109:22437:11386 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2107:15381:4459 2:N:0:2 (reversed)"
,start,"2,350","2,350",1,reverse,M01342:73:000000000-AAFA1:1:2113:8629:7155 1:N:0:2
,start,"2,354","2,354",1,reverse,M01342:73:000000000-AAFA1:1:2112:11848:14900 2:N:0:2
,start,"2,355","2,355",1,reverse,M01342:73:000000000-AAFA1:1:2106:11369:21918 2:N:0:2
,start,"2,359","2,359",1,reverse,M01342:73:000000000-AAFA1:1:1110:7417:21221 1:N:0:2
,start,"2,359","2,359",1,forward,M01342:73:000000000-AAFA1:1:2111:7948:18872 1:N:0:2 (reversed)
,start,"2,368","2,368",1,forward,M01342:73:000000000-AAFA1:1:2111:8886:17426 1:N:0:2 (reversed)
,start,"2,379","2,379",1,forward,M01342:73:000000000-AAFA1:1:1110:13043:14934 1:N:0:2 (reversed)
,start,"2,387","2,387",1,forward,M01342:73:000000000-AAFA1:1:2113:2817:13813 2:N:0:2 (reversed)
,start,"2,391","2,391",1,reverse,M01342:73:000000000-AAFA1:1:2104:24185:16442 2:N:0:2
,start,"2,414","2,414",1,reverse,M01342:73:000000000-AAFA1:1:1107:8210:18597 1:N:0:2
,start,"2,415","2,415",1,reverse,M01342:73:000000000-AAFA1:1:1104:12572:25530 1:N:0:2
,start,"2,423","2,423",1,forward,M01342:73:000000000-AAFA1:1:2110:6680:19247 2:N:0:2 (reversed)
,start,"2,439","2,439",1,reverse,M01342:73:000000000-AAFA1:1:1104:12679:22454 1:N:0:2
,start,"2,453","2,453",1,forward,M01342:73:000000000-AAFA1:1:1110:9741:23133 2:N:0:2
,start,"2,457","2,457",1,forward,M01342:73:000000000-AAFA1:1:1114:10954:7493 1:N:0:2 (reversed)
,start,"2,469","2,469",1,forward,"M01342:73:000000000-AAFA1:1:1113:8777:21498 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2114:9293:14188 1:N:0:2 (reversed)"
,start,"2,473","2,473",1,reverse,M01342:73:000000000-AAFA1:1:2103:26030:14675 1:N:0:2
,start,"2,473","2,473",1,forward,M01342:73:000000000-AAFA1:1:1109:9126:6779 1:N:0:2
,start,"2,476","2,476",1,forward,M01342:73:000000000-AAFA1:1:1107:6050:7147 1:N:0:2
,start,"2,477","2,477",1,reverse,"M01342:73:000000000-AAFA1:1:1106:8809:17393 1:N:0:2, M01342:73:000000000-AAFA1:1:2101:13330:16451 2:N:0:2"
,start,"2,485","2,485",1,forward,M01342:73:000000000-AAFA1:1:1104:18195:6209 1:N:0:2 (reversed)
,start,"2,488","2,488",1,reverse,M01342:73:000000000-AAFA1:1:1114:21073:23324 1:N:0:2
,start,"2,524","2,524",1,reverse,M01342:73:000000000-AAFA1:1:1105:16905:10524 2:N:0:2
,start,"2,525","2,525",1,forward,M01342:73:000000000-AAFA1:1:1114:18745:25654 1:N:0:2
,start,"2,531","2,531",1,reverse,M01342:73:000000000-AAFA1:1:2106:14141:10007 2:N:0:2
,start,"2,535","2,535",1,forward,M01342:73:000000000-AAFA1:1:2113:24843:4931 1:N:0:2 (reversed)
,start,"2,536","2,536",1,forward,M01342:73:000000000-AAFA1:1:1111:8783:21733 2:N:0:2
,start,"2,550","2,550",1,forward,M01342:73:000000000-AAFA1:1:1104:29501:15545 1:N:0:2 (reversed)
,start,"2,574","2,574",1,reverse,M01342:73:000000000-AAFA1:1:1111:23001:21342 2:N:0:2
,start,"2,578","2,578",1,forward,"M01342:73:000000000-AAFA1:1:1114:6922:12372 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2105:18614:19236 1:N:0:2"
,start,"2,591","2,591",1,forward,M01342:73:000000000-AAFA1:1:1113:25256:5698 1:N:0:2 (reversed)
,start,"2,593","2,593",1,forward,M01342:73:000000000-AAFA1:1:2105:19423:13971 2:N:0:2
,start,"2,627","2,627",1,forward,"M01342:73:000000000-AAFA1:1:2108:12187:8179 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2109:22127:6802 2:N:0:2 (reversed)"
,start,"2,642","2,642",1,forward,"M01342:73:000000000-AAFA1:1:1103:22056:19838 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2105:6857:18921 1:N:0:2 (reversed)"
,start,"2,656","2,656",1,reverse,M01342:73:000000000-AAFA1:1:2112:16805:12734 2:N:0:2 (reversed)
,start,"2,656","2,656",1,forward,M01342:73:000000000-AAFA1:1:2104:3596:15137 1:N:0:2
,start,"2,660","2,660",1,reverse,M01342:73:000000000-AAFA1:1:2105:8701:12049 2:N:0:2
,start,"2,660","2,660",1,forward,"M01342:73:000000000-AAFA1:1:1103:14753:12520 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2108:16014:26335 2:N:0:2 (reversed)"
,start,"2,669","2,669",1,forward,M01342:73:000000000-AAFA1:1:2111:28062:11344 1:N:0:2 (reversed)
,start,"2,676","2,676",1,reverse,M01342:73:000000000-AAFA1:1:1107:18335:21790 1:N:0:2
,start,"2,690","2,690",1,reverse,M01342:73:000000000-AAFA1:1:2104:20993:5915 1:N:0:2
,start,"2,711","2,711",1,forward,M01342:73:000000000-AAFA1:1:1102:2798:16938 1:N:0:2 (reversed)
,start,"2,716","2,716",1,forward,M01342:73:000000000-AAFA1:1:2101:12556:2281 1:N:0:2
,start,"2,719","2,719",1,reverse,M01342:73:000000000-AAFA1:1:1112:16044:10870 1:N:0:2
,start,"2,720","2,720",1,forward,"M01342:73:000000000-AAFA1:1:1103:6055:18707 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2104:2329:15634 1:N:0:2, M01342:73:000000000-AAFA1:1:2104:23740:10647 1:N:0:2, M01342:73:000000000-AAFA1:1:2106:10848:22384 1:N:0:2"
,start,"2,728","2,728",1,reverse,M01342:73:000000000-AAFA1:1:1109:12900:11895 1:N:0:2
,start,"2,749","2,749",1,reverse,"M01342:73:000000000-AAFA1:1:2101:19740:21562 1:N:0:2, M01342:73:000000000-AAFA1:1:2107:9051:13781 2:N:0:2 (reversed)"
,start,"2,766","2,766",1,forward,M01342:73:000000000-AAFA1:1:1102:21114:6453 2:N:0:2
,start,"2,771","2,771",1,reverse,M01342:73:000000000-AAFA1:1:1112:3278:18472 1:N:0:2
,start,"2,775","2,775",1,reverse,M01342:73:000000000-AAFA1:1:2113:20163:7588 2:N:0:2
,start,"2,783","2,783",1,reverse,M01342:73:000000000-AAFA1:1:1109:12151:22558 1:N:0:2
,start,"2,787","2,787",1,forward,M01342:73:000000000-AAFA1:1:1110:27508:11248 2:N:0:2 (reversed)
,start,"2,791","2,791",1,forward,M01342:73:000000000-AAFA1:1:2107:15008:20125 1:N:0:2 (reversed)
,start,"2,795","2,795",1,forward,M01342:73:000000000-AAFA1:1:1103:22622:12845 2:N:0:2 (reversed)
,start,"2,796","2,796",1,reverse,M01342:73:000000000-AAFA1:1:1101:6733:8822 1:N:0:2
,start,"2,804","2,804",1,forward,M01342:73:000000000-AAFA1:1:2103:14795:20360 2:N:0:2 (reversed)
,start,"2,812","2,812",1,forward,M01342:73:000000000-AAFA1:1:2110:16163:25554 2:N:0:2 (reversed)
,start,"2,816","2,816",1,forward,M01342:73:000000000-AAFA1:1:2107:23492:15276 1:N:0:2 (reversed)
,start,"2,820","2,820",1,reverse,M01342:73:000000000-AAFA1:1:1104:16900:3861 1:N:0:2
,start,"2,830","2,830",1,reverse,M01342:73:000000000-AAFA1:1:2108:26705:15302 1:N:0:2
,start,"2,833","2,833",1,forward,M01342:73:000000000-AAFA1:1:2114:6140:13658 1:N:0:2 (reversed)
,start,"2,842","2,842",1,forward,"M01342:73:000000000-AAFA1:1:1114:12067:10030 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2111:13138:8330 2:N:0:2 (reversed)"
,start,"2,865","2,865",1,reverse,M01342:73:000000000-AAFA1:1:1108:15646:18091 1:N:0:2
,start,"2,871","2,871",1,forward,M01342:73:000000000-AAFA1:1:1109:15244:17257 2:N:0:2
,start,"2,886","2,886",1,reverse,M01342:73:000000000-AAFA1:1:1114:7515:8037 2:N:0:2
,start,"2,892","2,892",1,forward,M01342:73:000000000-AAFA1:1:2103:18472:18534 2:N:0:2 (reversed)
,start,"2,901","2,901",1,reverse,M01342:73:000000000-AAFA1:1:1108:23941:14081 1:N:0:2 (reversed)
,start,"2,904","2,904",1,forward,M01342:73:000000000-AAFA1:1:2113:5609:9882 2:N:0:2 (reversed)
,start,"2,913","2,913",1,forward,M01342:73:000000000-AAFA1:1:2111:6346:20608 1:N:0:2
,start,"2,925","2,925",1,forward,M01342:73:000000000-AAFA1:1:1106:11027:2147 1:N:0:2 (reversed)
,start,"2,941","2,941",1,forward,M01342:73:000000000-AAFA1:1:2105:18198:28093 1:N:0:2 (reversed)
,start,"2,943","2,943",1,forward,M01342:73:000000000-AAFA1:1:1105:25144:6426 1:N:0:2 (reversed)
,start,"2,946","2,946",1,forward,"M01342:73:000000000-AAFA1:1:1106:20533:20117 2:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2106:14310:19202 2:N:0:2 (reversed)"
,start,"2,949","2,949",1,reverse,"M01342:73:000000000-AAFA1:1:1104:6767:23401 2:N:0:2, M01342:73:000000000-AAFA1:1:1110:9170:21237 2:N:0:2"
,start,"2,959","2,959",1,forward,"M01342:73:000000000-AAFA1:1:1108:10168:4655 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2107:15029:10793 2:N:0:2 (reversed)"
,start,"2,965","2,965",1,reverse,M01342:73:000000000-AAFA1:1:2110:8938:14965 1:N:0:2
